id,not_before,not_after,longitude,latitude,type_of_monument,country,text_edition,type_of_monument_clean,type_of_inscription_clean,country_clean,clean_text_interpretive_word,clean_text_interpretive_word_lowercase,clean_text_interpretive_sentence,form_dis_manibus
HD000006,0071,0150,-5.0244,36.9515,stele,Spain,Dis Manibus sacrum  Memmia Auctina annorum LXX pia in suis hic sita est sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Memmia Auctina annorum LXX pia in suis hic sita est sit tibi terra levis,dis manibus sacrum memmia auctina annorum lxx pia in suis hic sita est sit tibi terra levis,Dis Manibus sacrum Memmia Auctina annorum LXX pia in suis hic sita est sit tibi terra levis,dis manibus sacrum
HD000038,0151,0200,-4.3583,37.5572,tabula,Spain,Dis Manibus sacrum Calpurnia  nnum XX pia in suis hic sita est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Calpurnia annorum XX pia in suis hic sita est sit tibi terra levis,dis manibus sacrum calpurnia annorum xx pia in suis hic sita est sit tibi terra levis,Dis Manibus sacrum Calpurnia annorum XX pia in suis hic sita est sit tibi terra levis,dis manibus sacrum
HD000106,0171,0230,2.1477,41.7306,tabula,Spain,Dis Manibus sacrum Publius Obstorius Publi filius?  vixit nnos VI menses  dies  Obstoria filio piissimo vixit nnos XXVIII post mortem fili sui diebus VI,tabula,epitaph,Spain,Dis Manibus sacrum Publius Obstorius Publi filius vixit annos VI menses dies Obstoria filio piissimo vixit annos XXVIII post mortem fili sui diebus VI,dis manibus sacrum publius obstorius publi filius vixit annos vi menses dies obstoria filio piissimo vixit annos xxviii post mortem fili sui diebus vi,Dis Manibus sacrum Publius Obstorius Publi filius vixit annos VI menses dies Obstoria filio piissimo vixit annos XXVIII post mortem fili sui diebus VI,dis manibus sacrum
HD000125,0101,0200,-6.3456,38.9159,tabula,Spain,Dis Manibus sacrum Cornelio Narcisso annorum LXIIII hic situs est sit tibi terra levis Marcia Patrina uxor             ,tabula,epitaph,Spain,Dis Manibus sacrum Cornelio Narcisso annorum LXIIII hic situs est sit tibi terra levis Marcia Patrina uxor,dis manibus sacrum cornelio narcisso annorum lxiiii hic situs est sit tibi terra levis marcia patrina uxor,Dis Manibus sacrum Cornelio Narcisso annorum LXIIII hic situs est sit tibi terra levis Marcia Patrina uxor,dis manibus sacrum
HD000133,0201,0250,-4.3183,37.8672,altar,Spain,Dis Manibus sacrum Natalis annorum XXXX pia in suos=AN#suos#SUAN sit terra levis,altar,epitaph,Spain,Dis Manibus sacrum Natalis annorum XXXX pia in suosN sit terra levis,dis manibus sacrum natalis annorum xxxx pia in suosn sit terra levis,Dis Manibus sacrum Natalis annorum XXXX pia in suosN sit terra levis,dis manibus sacrum
HD000224,0197,0250,-6.3437,38.9161,tabula,Spain,Dis Manibus sacrum Gaio M Zosimo beneficiario legionis VII geminae piae felicis natione Italo stipendiorum=ON#stipendiorum#STIPEDIORON XX qui vixit annis XXXVII mensibus VII diebus XXXXVIIII Iunia Vera coniugi benignissimo piissimo=VRCINIO#piissimo#VRCINIO posuitN#posuit#POSUIN hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Gaio M Zosimo beneficiario legionis VII geminae piae felicis natione Italo stipendiorumN XX qui vixit annis XXXVII mensibus VII diebus XXXXVIIII Iunia Vera coniugi benignissimo piissimoRCINIO posuit hic situs est sit tibi terra levis,dis manibus sacrum gaio m zosimo beneficiario legionis vii geminae piae felicis natione italo stipendiorumn xx qui vixit annis xxxvii mensibus vii diebus xxxxviiii iunia vera coniugi benignissimo piissimorcinio posuit hic situs est sit tibi terra levis,Dis Manibus sacrum Gaio M Zosimo beneficiario legionis VII geminae piae felicis natione Italo stipendiorumN XX qui vixit annis XXXVII mensibus VII diebus XXXXVIIII Iunia Vera coniugi benignissimo piissimoRCINIO posuit hic situs est sit tibi terra levis,dis manibus sacrum
HD000252,0101,0200,-5.3467,37.7092,tabula,Spain,Dis Manibus sacrum Lucius Iunius Onesiphorus annorum LX pius in suis hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Lucius Iunius Onesiphorus annorum LX pius in suis hic situs est sit tibi terra levis,dis manibus sacrum lucius iunius onesiphorus annorum lx pius in suis hic situs est sit tibi terra levis,Dis Manibus sacrum Lucius Iunius Onesiphorus annorum LX pius in suis hic situs est sit tibi terra levis,dis manibus sacrum
HD000255,0131,0170,-5.3467,37.7092,tabula,Spain,Dis Manibus sacrum Sergia Rustica nnorum LXXXX pia in suos hic sita est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Sergia Rustica annorum LXXXX pia in suos hic sita est sit tibi terra levis,dis manibus sacrum sergia rustica annorum lxxxx pia in suos hic sita est sit tibi terra levis,Dis Manibus sacrum Sergia Rustica annorum LXXXX pia in suos hic sita est sit tibi terra levis,dis manibus sacrum
HD000264,0171,0230,-4.2723,37.4422,tabula,Spain,Dis Manibus sacrum Fortunatus municipum municipii Ipolcobulculensium servus nnum XXXXIII pius in suis hic situs est sit tibi terra levis             ,tabula,epitaph,Spain,Dis Manibus sacrum Fortunatus municipum municipii Ipolcobulculensium servus annorum XXXXIII pius in suis hic situs est sit tibi terra levis,dis manibus sacrum fortunatus municipum municipii ipolcobulculensium servus annorum xxxxiii pius in suis hic situs est sit tibi terra levis,Dis Manibus sacrum Fortunatus municipum municipii Ipolcobulculensium servus annorum XXXXIII pius in suis hic situs est sit tibi terra levis,dis manibus sacrum
HD000267,0151,0200,-4.4259,37.4744,block,Spain,Dis Manibus sacrum  Urbanus C  Igabrensi annorum  pius in suis hic situs est sit tibi terra levis Primigenius Urbani lib(ertus) annorum VIIII p(ius) i(n) s(uis) hic situs est sit tibi terra levis,block,epitaph,Spain,Dis Manibus sacrum Urbanus C Igabrensi annorum pius in suis hic situs est sit tibi terra levis Primigenius Urbani libertus annorum VIIII pius in suis hic situs est sit tibi terra levis,dis manibus sacrum urbanus c igabrensi annorum pius in suis hic situs est sit tibi terra levis primigenius urbani libertus annorum viiii pius in suis hic situs est sit tibi terra levis,Dis Manibus sacrum Urbanus C Igabrensi annorum pius in suis hic situs est sit tibi terra levis Primigenius Urbani libertus annorum VIIII pius in suis hic situs est sit tibi terra levis,dis manibus sacrum
