province_label_clean,all_insc,dis manibus,dis manibus sacrum,diis manibus,diis manibus sacrum,di manes,dii manes,dm,dms,dm_ratio,dms_ratio
Achaia,1282,28,1,NA,NA,NA,NA,NA,NA,NA,NA
Aegyptus,167,7,1,NA,NA,NA,NA,NA,NA,NA,NA
Aemilia (Regio VIII),211,38,1,NA,NA,NA,NA,NA,NA,NA,NA
Africa Proconsularis,4454,67,590,8,7,NA,NA,75,597,1.68,13.4
Alpes Cottiae,475,22,NA,1,NA,NA,NA,23,NA,4.84,NA
Alpes Graiae,76,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpes Maritimae,413,47,1,NA,NA,NA,NA,NA,NA,NA,NA
Alpes Poeninae,201,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apulia et Calabria (Regio II),761,173,27,5,NA,NA,NA,178,NA,23.39,NA
Aquitania,426,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabia,234,7,1,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asia,491,12,1,1,NA,NA,NA,13,NA,2.65,NA
Baetica,3016,42,435,1,4,NA,NA,43,439,1.43,14.56
Barbaricum,172,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgica,1681,149,1,NA,NA,NA,NA,NA,NA,NA,NA
Bithynia et Pontus,289,19,1,NA,NA,1,NA,NA,NA,NA,NA
Britannia,4470,308,28,2,NA,NA,NA,310,NA,6.94,NA
Bruttium et Lucania (Regio III),246,48,11,1,NA,NA,NA,49,NA,19.92,NA
Cappadocia,66,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cilicia,70,6,2,NA,NA,NA,NA,NA,NA,NA,NA
Corsica,46,9,1,NA,NA,NA,NA,NA,NA,NA,NA
Creta,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrene,88,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dacia,3543,542,4,NA,NA,NA,NA,NA,NA,NA,NA
Dalmatia,7650,1497,200,1,1,NA,NA,1498,201,19.58,2.63
Epirus,138,4,2,NA,1,NA,NA,NA,3,NA,2.17
Etruria (Regio VII),651,70,13,1,1,NA,NA,71,14,10.91,2.15
Galatia,208,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germania inferior,3252,156,6,NA,NA,NA,NA,NA,NA,NA,NA
Germania superior,6799,662,7,2,NA,NA,NA,664,NA,9.77,NA
Hispania citerior,4687,371,143,5,2,NA,NA,376,145,8.02,3.09
Iudaea,187,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latium et Campania (Regio I),2598,363,60,11,1,NA,NA,374,61,14.4,2.35
Liguria (Regio IX),145,14,2,NA,NA,NA,NA,NA,NA,NA,NA
Lugdunensis,596,67,1,2,NA,NA,NA,69,NA,11.58,NA
Lusitania,1583,60,169,NA,NA,NA,NA,NA,NA,NA,NA
Lycia et Pamphylia,61,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macedonia,1321,19,58,2,NA,NA,NA,21,NA,1.59,NA
"Macedonia, Epirus",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauretania Caesariensis,1124,156,183,3,NA,NA,NA,159,NA,14.15,NA
Mauretania Tingitana,291,16,34,NA,NA,NA,NA,NA,NA,NA,NA
Mesopotamia,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moesia inferior,1939,332,4,NA,NA,NA,NA,NA,NA,NA,NA
Moesia superior,1474,408,6,NA,NA,NA,NA,NA,NA,NA,NA
Narbonensis,1402,136,NA,2,NA,NA,NA,138,NA,9.84,NA
Noricum,2736,252,3,NA,NA,NA,NA,NA,NA,NA,NA
Numidia,2644,203,966,1,NA,NA,NA,204,NA,7.72,NA
Pannonia inferior,3136,436,4,NA,NA,NA,NA,NA,NA,NA,NA
Pannonia superior,4258,395,7,NA,NA,NA,NA,NA,NA,NA,NA
Picenum (Regio V),171,16,2,NA,NA,NA,NA,NA,NA,NA,NA
Raetia,1011,118,3,NA,NA,NA,NA,NA,NA,NA,NA
Regnum Bospori,78,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roma,4393,988,62,23,NA,1,1,1011,NA,23.01,NA
Samnium (Regio IV),649,30,48,NA,NA,NA,NA,NA,NA,NA,NA
Sardinia,228,52,3,1,NA,NA,NA,53,NA,23.25,NA
"Sicilia, Melita",193,17,11,NA,NA,NA,NA,NA,NA,NA,NA
Syria,405,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thracia,395,31,5,1,NA,NA,NA,32,NA,8.1,NA
Transpadana (Regio XI),165,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuscia et Umbria,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Umbria (Regio VI),348,38,NA,1,NA,NA,NA,39,NA,11.21,NA
unknown,384,27,3,NA,NA,NA,NA,NA,NA,NA,NA
Venetia et Histria (Regio X),1156,46,1,NA,NA,NA,NA,NA,NA,NA,NA
